label,name,mass(g),calories(kcal),carbohydrate(g),protein(g),fat(g),water(g),K(mg),P(mg),VitA(µg),VitD(µg),VitE(mg),VitK(µg),Na(mg),Ca(mg)
1,candy,10,40,9.8,0,0,0.2,0.2,0,0,0,0,0,20,0.8
2,eggtart,60,150,15,3,9,24,48,36,60,0,0.3,3,138,60
3,frenchfries,120,360,48,4.8,19.2,54,540,96,0,0,2.4,36,660,21.6
4,chocolate,30,162,16,2,10,0.45,75,15,15,0,0.6,0,7.2,16.8
5,biscuit,30,135,20,2,8,1,60,12,15,0,0.3,0,49,144
6,popcorn,150,675,120,10,30,6,335,75,0,0,2.25,0,12,10.5
7,pudding,150,190,30,6,6,115,225,90,50,0,0.75,0,147,159
8,icecream,60,135,15,2,7,33,120,36,90,0,0.3,0,37,79
9,cheesebutter,10,75,0,0,8,1.2,1.5,0.7,80,0,0.15,0,60,40
10,cake,150,525,75,9,22.5,52.5,300,75,45,0,1.5,0,200,70
11,wine,150,125,4,0.2,0,135,160,20,0,0,0,0,7,0
12,milkshake,300,600,75,15,24,210,600,150,225,0,2.4,0,230,690
13,coffee,250,4,0,0.2,0,248,220,20,0,0,0,0,2.5,5
14,juice,250,113,25,2,0.3,225,500,40,12.5,0,0.25,0,10,25
15,milk,250,160,12,8,9,220,300,225,100,2.5,0.5,0,80,250
16,tea,250,4,0,0,0,248,65,8,0,0,0,0,10,25
17,almond,20,115,4,4,10,1,150,100,0.2,0,5.1,0,1,52
18,redbeans,30,40,7,2.6,0.2,19,120,40,0,0,0.06,1,1.2,20
19,cashew,20,110,6,3.6,9,1,130,113,0,0,0.18,7,3.2,9
20,driedcranberries,20,65,16,1,0,2,8,1.6,0,0,0.02,0,1,4
21,soy,20,35,2,3.3,1.8,12,56,56,0,0,0.18,5.4,0.8,52
22,walnut,20,130,2.7,3,13,1,88,70,4,0,0.14,0.54,0.4,20
23,peanut,20,120,3.2,5.2,10,2,140,75,0,0,1.66,0,0.3,8.4
24,egg,50,72,0.6,6,5,38,63,100,270,17,1,0,50,25
25,apple,200,100,25,0.5,0.3,155,195,11,98,0,1.8,2.2,4,21.8
26,date,24,66,18,0.5,0.2,18,167,15,0,0,0.1,0,3,9
27,apricot,35,17,4,0.5,0,30,120,15,64,0,0.07,3,0.35,4.55
28,avocado,250,400,20,5,36,205,645,50,146,0,2.07,21,10,45
29,banana,150,135,35,1.5,0.4,118,422,26,64,0,0.1,0.5,1.5,7.5
30,strawberry,100,32,7.7,0.7,0.3,91,153,24,12,0,0.15,2.2,1,16
31,cherry,100,50,12,1,0.3,81,222,15,64,0,0.2,2.1,0.6,3.2
32,blueberry,100,57,14.5,0.7,0.3,84,77,18,54,0,0.57,19.3,0.2,1.2
33,raspberry,100,52,11.9,1.2,0.7,85,151,24,41,0,0.87,6.2,1,25
34,mango,200,150,35,1,0.6,160,277,30,108,0,0.16,5,0,22
35,olives,5,7,0.8,0,0.7,3,1,1,0,0,0.07,0.1,31,1
36,peach,200,70,17,1,0.4,180,285,14,25,0,0.9,5.6,1,18
37,lemon,100,29,9.3,1.1,0.3,89,138,16,0,0,0.18,0.4,1,26
38,pear,200,102,27,0.6,0.2,180,206,12,24,0,0.16,2.4,2,18
39,fig,75,74,19.2,0.7,0.3,72,116,18,0,0,0.19,3.1,0.48,16.8
40,pineapple,150,75,19,1,0.2,130,180,18,0,0,0.15,0.7,3,31.5
41,grape,75,52,14.7,0.6,0.2,71,191,20,66,0,0.2,14.6,0.75,27.75
42,kiwi,75,61,14.7,1.1,0.5,73,288,34,87,0,0.2,40.3,2.3,26
43,melon,150,34,8.1,0.7,0.2,139,268,18,24,0,0.2,2.4,15,15
44,orange,150,62,15.4,1.2,0.2,134,237,18,0,0,0.2,0,0,30
45,watermelon,150,46,11.6,0.9,0.2,139,112,5,28,0,0.1,0.4,1.5,10
46,steak,200,494,0,62,36,60,320,390,0,0.2,0.1,1.5,50,20
47,pork,150,263,0,22,20,67,360,220,0,0.1,0.3,0.6,60,10
48,chickenduck,150,335,0,25,25,67,260,240,0,0.3,0.3,0.4,60,10
49,sausage,75,300,2,11,25,52,350,180,0,0.1,0.3,0.2,600,20
50,friedmeat,100,297,0,27,21,52,350,220,0,0.1,0.2,0.5,700,15
51,lamb,150,294,0,25,22,56,300,250,0,0.1,0.1,0.2,60,10
52,sauce,30,15,3,0.2,0.1,26,80,4,0,0,0.1,0,500,5
53,crab,100,85,0,18,1,75,250,90,0,0.2,0.3,0.5,200,50
54,fish,100,206,0,22,12,64,400,250,50,1.0,0.5,0.5,100,20
55,shellfish,100,80,0,15,2,78,220,140,0,0.2,0.1,0.3,450,70
56,shrimp,100,99,0.2,24,0.3,76,200,60,0,0.2,0.1,0.2,200,40
57,soup,250,70,10,2,3,225,250,40,0,0.1,0.2,1.0,600,50
58,bread,30,80,15,3,1,11,100,50,0,0,0.2,0,150,20
